S. No,Category,State/UT,2016,2017,2018,Total
1,State,Andhra Pradesh,616,931,1207,2754
2,State,Arunachal Pradesh,4,1,7,12
3,State,Assam,696,1120,2022,3838
4,State,Bihar,309,433,374,1116
5,State,Chhattisgarh,90,171,139,400
6,State,Goa,31,13,29,73
7,State,Gujarat,362,458,702,1522
8,State,Haryana,401,504,418,1323
9,State,Himachal Pradesh,31,56,69,156
10,State,Jammu & Kashmir,28,63,73,164
11,State,Jharkhand,259,720,930,1909
12,State,Karnataka,1101,3174,5839,10114
13,State,Kerala,283,320,340,943
14,State,Madhya Pradesh,258,490,740,1488
15,State,Maharashtra,2380,3604,3511,9495
16,State,Manipur,11,74,29,114
17,State,Meghalaya,39,39,74,152
18,State,Mizoram,1,10,6,17
19,State,Nagaland,2,0,2,4
20,State,Odisha,317,824,843,1984
21,State,Punjab,102,176,239,517
22,State,Rajasthan,941,1304,1104,3349
23,State,Sikkim,1,1,1,3
24,State,Tamil Nadu,144,228,295,667
25,State,Telangana,593,1209,1205,3007
26,State,Tripura,8,7,20,35
27,State,Uttar Pradesh,2639,4971,6280,13890
28,State,Uttarakhand,62,124,171,357
29,State,West Bengal,478,568,335,1381
30,Union Territory,A & N Islands,3,3,7,13
31,Union Territory,Chandigarh,26,32,30,88
32,Union Territory,D&N Haveli,1,1,0,2
33,Union Territory,Daman & Diu,0,0,0,0
34,Union Territory,Delhi UT,98,162,189,449
35,Union Territory,Lakshadweep,0,0,4,4
36,Union Territory,Puducherry,2,5,14,21
